Sample;SITE;Awayvsclosetoreef;SmallvsLargemetacommunity;Metacommunityrep;acaro3;M10;M15;Amphipoda1;Amphipoda15;Amphipoda17,Amphitoerubricata(cf);Amphipoda2;Abludomelita obtusata;Amphipoda25;Amphipoda26,Ampeliscidae;Amphipoda7;Amphipoda8;Aoragracilis;Apherusajurinei(cf);Dexamine spinosa;Ericthoniusdifformis;Ericthoniuspunctatus;Gammarellafucicola;Jassafalcata;Maeragrossimana;Phtisicamarina;Pseudoprotellaphasma;Caprellaacanthifera;Caprellalinearis;Thalassosmittiaatlantica;M13;Copepoda4;Copepoda1;Copepoda2;Copepoda3;Decapoda1;Decapoda2;Decapoda3;Decapoda4;Decapoda5;Decapoda,santola;M7;Macropodiasp.;Paguridae;Pagurus2;Diastylissp.;M9(larvaequinoderme);Ophioctenaffinis;Ophiuridae1;Ophiuridae2;ourico1;ourico2;ouricobranco;Diplecogaster;Peixe2;Foraminifera1;Foraminifera3;Foraminifera4;Alvaniaangioyi;Alvaniacancellata;Bittiumnanum;Caecumwayae;Gastropoda1;Gastropoda12;Gastropoda8(achoqueeTricolia);Gibbulamagus;Jaeropsisbrevicornis;Jujubinuspseudogravinae;Lamellariaperspicua;Manzoniaunifasciata;Microprotopusmaculatus;Nassariuscuvierii(cf);Nassariusrecidivus(cf);Odostomiabernardi(cf);Omalogyraatomus;Philinesp.;Raphitomasp.;Raphitomasp2;Raphitomasp.3;Retusatruncatula;Rissoelasp2(cf);Setiasubvaricosa;Solariellaazorensis;Tricoliapullusazorica;Trophonopsismuricatus;Anthuragracilis;Dynamenebidentata;Gnathiamaxillaris;Janiropsisbreviremis;Polychaeta1;Polychaeta12;Polychaeta15;Polychaeta16;Polychaeta17;Polychaeta18;Polychaeta19;Polychaeta2;Polychaeta20;Polychaeta21;Polychaeta3;Polychaeta5;Polychaeta8;Euphrosinefoliosa;Nereidae;Nudibranchia1;Nudibranchia2;Nudibranchia4;Nudibranchia5;Nudibranchia6;Oligochaeta2;Oligochaeta3;M11;M14;M19;M6;Lepidogaster/Diplecogaster;planaria;Acheliaechinata;Callipalleneemaciata;M1;M20;M3;M4;M5;M8;Leptocheliacaldera;Paratanaismartinsi;Tanaisgrimaldii;M12;M18;M2;M21;M24;B4;B5;Chlamissp.;Chlamissp2;Erviliacastanea;Limariahians;Papillicardiumpapillosum;Bryozoa1;Bryozoa2;Bryozoa3;Bryozoa4;Bryozoa5;Bryozoa7;Bryozoarosa;Crosta3;Cnidaria,Anthozoa;Spongia;Grantiasp.;Syconsp.;Annelidaew/otube;Spirorbidae;Tubeworm
s1;site 1;Away;Large;1;0;0;0;128;92;72;8;4;0;0;16;16;12;12;0;12;36;4;59;1;116;0;0;60;0;0;0;0;0;0;4;0;0;0;0;0;4;1;0;0;12;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28;0;0;0;0;0;0;0;0;0;0;12;0;4;0;12;4;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;20;0;0;0;0;0;8;52;0;0;0;0;0;1;4;0;0;0;0;0;0;0;0;4;4;0;0;0;0;0;0;0;0;0;4;12;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
s2;site 1;Away;Large;1;0;0;0;504;152;176;8;0;0;0;12;16;20;12;0;0;132;16;780;0;288;0;0;120;0;0;0;8;0;0;0;0;0;4;0;0;1;0;0;0;16;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;4;0;0;8;0;0;0;0;0;0;0;0;0;0;4;0;40;0;12;4;0;0;4;0;0;0;0;0;0;0;0;0;24;0;0;0;44;0;0;0;0;0;1;104;0;0;0;8;0;4;12;4;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;4;0;192;12;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24
s3;site 1;Away;Large;1;0;0;0;44;84;28;0;0;0;0;4;4;1;4;4;0;8;4;140;0;48;0;0;36;0;0;0;0;0;0;4;0;1;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;8;0;0;0;0;0;0;0;0;0;4;1;0;1;0;1;4;0;0;0;0;0;0;0;4;0;0;0;0;4;0;0;0;12;0;0;0;0;0;0;20;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;4;0;12;24;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8
s4;site 1;Away;Large;2;0;0;0;29;41;37;0;0;0;0;5;5;5;5;0;0;16;0;57;0;17;0;0;1;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;9;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;4;0;0;17;0;0;0;0;4;0;0;0;0;0;0;0;13;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;13;0;0;0;0;0;1;25;0;0;0;0;0;5;5;0;0;0;0;0;0;0;4;1;0;0;0;0;0;0;0;0;0;0;5;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1
s5;site 1;Away;Large;2;2;2;0;118;174;47;0;0;0;0;14;12;3;4;2;1;75;11;102;0;48;0;0;12;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;33;0;4;0;0;0;0;0;0;0;1;0;2;2;0;0;0;0;0;0;0;14;2;0;0;5;0;0;0;2;0;0;0;0;1;0;2;0;13;0;9;0;0;0;0;0;0;0;0;0;0;0;0;1;14;0;0;0;15;0;0;0;0;1;8;24;0;1;1;0;0;6;7;5;1;1;0;0;0;0;0;3;5;0;0;0;0;0;0;1;1;0;32;9;1;0;0;4;0;0;0;0;0;6;0;10;10;0;0;82
s6;site 1;Away;Large;2;3;0;0;321;131;80;0;0;0;0;22;16;12;11;0;6;139;5;196;3;152;0;0;43;0;3;0;0;0;0;5;0;0;0;0;3;0;0;1;0;40;0;7;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;13;5;0;0;20;0;0;0;2;3;0;0;0;0;0;13;0;31;0;15;5;0;0;0;2;0;0;0;1;0;0;0;2;17;0;0;0;13;6;0;0;0;0;7;16;0;4;0;0;0;6;12;14;0;1;0;0;0;0;0;4;6;0;0;0;0;0;0;1;4;0;49;39;1;0;0;2;0;0;0;0;0;2;1;2;6;2;0;90
s7;site 1;Away;Large;3;0;0;0;489;345;93;5;0;0;4;21;33;1;9;1;4;185;4;177;4;261;0;0;129;0;0;0;0;0;0;17;0;4;0;0;0;1;1;0;0;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;9;0;0;25;0;0;0;0;0;0;0;0;0;0;5;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;25;0;0;0;41;0;0;0;0;0;9;13;0;0;0;1;0;5;4;1;0;0;0;0;0;0;1;5;32;0;0;0;0;0;0;0;0;0;21;9;1;0;0;5;0;0;9;0;0;5;1;1;5;0;0;29
s8;site 1;Away;Large;3;0;0;0;233;273;161;0;0;0;0;17;21;5;29;5;13;221;1;349;9;321;0;0;49;0;0;0;0;0;0;21;0;0;0;0;0;0;1;0;0;33;0;17;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;5;0;0;0;29;0;0;0;0;0;0;0;0;0;0;1;0;5;0;17;1;1;0;0;0;0;0;0;0;0;0;0;0;21;0;0;0;37;0;0;1;0;0;1;13;0;0;0;1;0;1;1;1;0;0;0;0;0;0;0;5;1;0;0;1;0;0;0;0;0;0;29;9;9;0;0;1;0;0;4;0;0;5;0;0;5;0;0;69
s9;site 1;Away;Large;3;0;1;0;197;173;277;0;0;0;0;1;17;5;37;4;1;89;0;301;4;213;0;0;49;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;29;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;13;0;13;1;0;0;0;9;0;0;0;1;1;0;0;0;17;0;0;0;9;0;0;1;0;0;1;5;0;0;0;0;0;5;1;5;0;0;0;0;0;0;5;0;1;0;4;0;0;0;0;0;0;0;21;13;1;0;0;1;0;0;1;0;0;5;0;0;0;1;0;9
s10;site 1;Away;Small;1;0;0;0;233;113;25;5;0;0;0;5;13;1;9;0;0;89;9;293;0;141;0;0;29;0;0;0;0;0;0;5;0;0;0;0;0;5;4;0;0;13;0;8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;1;0;0;17;0;0;0;0;0;0;0;0;0;0;13;0;9;0;5;1;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;25;0;0;0;0;0;0;1;0;0;0;0;0;9;5;1;0;0;0;0;0;0;17;0;8;0;0;0;0;0;0;0;0;0;5;9;0;0;0;0;0;0;4;0;0;5;0;0;0;0;0;0
